"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5354","✅ Envío exitoso de formulario de contacto - FUNCIONANDO","chromium","Fri Jul 11 11:08:37 CEST 2025","passed","Fri Jul 11 11:08:42 CEST 2025","🔗 Contact Form Tests - VERSIÓN FINAL","","",""
"","11394","🧪 Datos válidos completos","firefox","Fri Jul 11 10:28:04 CEST 2025","failed","Fri Jul 11 10:28:15 CEST 2025","🔗 Contact Form Tests","","",""
"","32627","📧 Validación de formato de email inválido","chromium","Fri Jul 11 11:09:08 CEST 2025","broken","Fri Jul 11 11:09:40 CEST 2025","🔗 Contact Form Tests","","",""
"","32261","🧪 Teléfono muy corto","chromium","Fri Jul 11 11:09:11 CEST 2025","broken","Fri Jul 11 11:09:44 CEST 2025","🔗 Contact Form Tests","","",""
"","22526","🧪 Datos válidos completos","webkit","Fri Jul 11 10:28:17 CEST 2025","failed","Fri Jul 11 10:28:40 CEST 2025","🔗 Contact Form Tests","","",""
"","1631","📋 Verificación completa del formulario de contacto","chromium","Fri Jul 11 11:08:37 CEST 2025","passed","Fri Jul 11 11:08:39 CEST 2025","🔗 Contact Form Tests - VERSIÓN FINAL","","",""
"","32237","🧪 Datos válidos completos","chromium","Fri Jul 11 11:09:08 CEST 2025","broken","Fri Jul 11 11:09:40 CEST 2025","🔗 Contact Form Tests","","",""
"","32628","⚡ Performance - Tiempo de respuesta en verificación de disponibilidad","chromium","Fri Jul 11 11:08:35 CEST 2025","broken","Fri Jul 11 11:09:07 CEST 2025","📅 Availability Validation Tests","","",""
"","1848","📝 Interacciones básicas del formulario","chromium","Fri Jul 11 11:08:35 CEST 2025","passed","Fri Jul 11 11:08:37 CEST 2025","🔗 Contact Form Tests - CORREGIDO","","",""
"","7385","🧪 Email inválido","firefox","Fri Jul 11 10:28:07 CEST 2025","failed","Fri Jul 11 10:28:14 CEST 2025","🔗 Contact Form Tests","","",""
"","32541","🧪 Campos vacíos","chromium","Fri Jul 11 11:09:08 CEST 2025","broken","Fri Jul 11 11:09:41 CEST 2025","🔗 Contact Form Tests","","",""
"","32727","📊 Verificar conteo de días disponibles vs no disponibles","chromium","Fri Jul 11 11:08:35 CEST 2025","broken","Fri Jul 11 11:09:07 CEST 2025","📅 Availability Validation Tests","","",""
"","32056","❌ Validación de campos obligatorios en formulario de contacto","chromium","Fri Jul 11 11:08:43 CEST 2025","broken","Fri Jul 11 11:09:15 CEST 2025","🔗 Contact Form Tests","","",""
"","32441","🧪 Fecha salida anterior a entrada","chromium","Fri Jul 11 11:08:35 CEST 2025","broken","Fri Jul 11 11:09:07 CEST 2025","📅 Availability Validation Tests","","",""
"","0","📊 Verificar conteo de días disponibles vs no disponibles","firefox","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","📅 Availability Validation Tests","","",""
"","8086","🧪 Email inválido","webkit","Fri Jul 11 10:28:18 CEST 2025","failed","Fri Jul 11 10:28:27 CEST 2025","🔗 Contact Form Tests","","",""
"","31950","✅ Envío exitoso de formulario de contacto con datos válidos","chromium","Fri Jul 11 11:08:35 CEST 2025","broken","Fri Jul 11 11:09:07 CEST 2025","🔗 Contact Form Tests - CORREGIDO","","",""
"","7745","📧 Validación de formato de email inválido","webkit","Fri Jul 11 10:28:17 CEST 2025","failed","Fri Jul 11 10:28:25 CEST 2025","🔗 Contact Form Tests","","",""
"","12955","📱 Responsividad del formulario de contacto","webkit","Fri Jul 11 10:28:27 CEST 2025","failed","Fri Jul 11 10:28:40 CEST 2025","🔗 Contact Form Tests","","",""
"","0","🧪 Fecha salida anterior a entrada","firefox","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","📅 Availability Validation Tests","","",""
"","0","has title","firefox","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","","","",""
"","33708","🧪 Fechas futuras válidas","chromium","Fri Jul 11 11:08:00 CEST 2025","broken","Fri Jul 11 11:08:34 CEST 2025","📅 Availability Validation Tests","","",""
"","33713","🧪 Misma fecha entrada y salida","chromium","Fri Jul 11 11:08:00 CEST 2025","broken","Fri Jul 11 11:08:34 CEST 2025","📅 Availability Validation Tests","","",""
"","716","get started link","chromium","Fri Jul 11 11:09:41 CEST 2025","passed","Fri Jul 11 11:09:42 CEST 2025","","","",""
"","0","📊 Verificar conteo de días disponibles vs no disponibles","webkit","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","📅 Availability Validation Tests","","",""
"","33841","❌ Verificar comportamiento con fechas pasadas","chromium","Fri Jul 11 11:08:00 CEST 2025","broken","Fri Jul 11 11:08:34 CEST 2025","📅 Availability Validation Tests","","",""
"","1922","🔍 Inspeccionar locators de la página","chromium","Fri Jul 11 11:09:42 CEST 2025","passed","Fri Jul 11 11:09:44 CEST 2025","","","",""
"","10589","✅ Envío exitoso de formulario de contacto con datos válidos","firefox","Fri Jul 11 10:28:02 CEST 2025","failed","Fri Jul 11 10:28:13 CEST 2025","🔗 Contact Form Tests","","",""
"","0","⚡ Performance - Tiempo de respuesta en verificación de disponibilidad","webkit","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","📅 Availability Validation Tests","","",""
"","22984","❌ Validación de campos obligatorios en formulario de contacto","webkit","Fri Jul 11 10:28:17 CEST 2025","failed","Fri Jul 11 10:28:40 CEST 2025","🔗 Contact Form Tests","","",""
"","0","has title","webkit","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","","","",""
"","33636","✅ Verificar disponibilidad con fechas futuras válidas","chromium","Fri Jul 11 11:08:00 CEST 2025","broken","Fri Jul 11 11:08:34 CEST 2025","📅 Availability Validation Tests","","",""
"","3454","🔍 Buscar elementos reales de la página","chromium","Fri Jul 11 11:09:42 CEST 2025","passed","Fri Jul 11 11:09:45 CEST 2025","","","",""
"","9188","🧪 Campos vacíos","firefox","Fri Jul 11 10:28:06 CEST 2025","failed","Fri Jul 11 10:28:15 CEST 2025","🔗 Contact Form Tests","","",""
"","1901","🔍 Inspeccionar elementos específicos","chromium","Fri Jul 11 11:09:41 CEST 2025","passed","Fri Jul 11 11:09:43 CEST 2025","","","",""
"","23880","✅ Envío exitoso de formulario de contacto con datos válidos","webkit","Fri Jul 11 10:28:16 CEST 2025","failed","Fri Jul 11 10:28:40 CEST 2025","🔗 Contact Form Tests","","",""
"","0","⚡ Performance - Tiempo de respuesta en verificación de disponibilidad","firefox","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","📅 Availability Validation Tests","","",""
"","0","get started link","webkit","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","","","",""
"","0","🧪 Fecha salida anterior a entrada","webkit","Fri Jul 11 10:27:45 CEST 2025","skipped","Fri Jul 11 10:27:45 CEST 2025","📅 Availability Validation Tests","","",""
"","1470","📱 Responsividad del formulario de contacto","firefox","Fri Jul 11 10:28:15 CEST 2025","failed","Fri Jul 11 10:28:17 CEST 2025","🔗 Contact Form Tests","","",""
"","1349","🧪 Teléfono muy corto","firefox","Fri Jul 11 10:28:14 CEST 2025","failed","Fri Jul 11 10:28:16 CEST 2025","🔗 Contact Form Tests","","",""
"","31882","✅ Envío exitoso de formulario de contacto con datos válidos","chromium","Fri Jul 11 11:08:39 CEST 2025","broken","Fri Jul 11 11:09:11 CEST 2025","🔗 Contact Form Tests","","",""
